accuracy,precision,recall,f1_score,model
0.825,0.85,0.825,0.8082370820668693,Naive Bayes
0.775,0.8136363636363637,0.775,0.7623677248677249,Naive Bayes
0.825,0.8444444444444444,0.825,0.8190476190476191,Naive Bayes
0.725,0.7649230769230769,0.725,0.7214462209302326,Naive Bayes
0.625,0.6613793103448276,0.625,0.5994671781756181,Naive Bayes
0.8,0.8183333333333334,0.8,0.7873611111111111,Naive Bayes
0.725,0.7689102564102563,0.725,0.716031746031746,Naive Bayes
0.625,0.5625448028673835,0.625,0.5659846547314579,Naive Bayes
0.825,0.8431623931623932,0.825,0.819815668202765,Naive Bayes
0.75,0.770673076923077,0.75,0.7408452380952381,Naive Bayes
0.75,0.7808333333333334,0.75,0.7263945119208277,Naive Bayes
0.775,0.8173076923076923,0.775,0.7695833333333334,Naive Bayes
0.7,0.8161290322580644,0.7,0.6729318181818181,Naive Bayes
0.75,0.7845268542199488,0.75,0.75,Naive Bayes
0.775,0.8425,0.775,0.7411191749427044,Naive Bayes
0.7,0.7532407407407409,0.7,0.6841904047976012,Naive Bayes
0.8,0.8278846153846153,0.8,0.7941545893719806,Naive Bayes
0.875,0.8853448275862068,0.875,0.8559090909090911,Naive Bayes
0.675,0.7266666666666667,0.675,0.6628571428571428,Naive Bayes
0.75,0.715625,0.75,0.7095238095238094,Naive Bayes
0.7,0.74125,0.7,0.6887012987012987,Naive Bayes
0.875,0.8825454545454546,0.875,0.8730612244897958,Naive Bayes
0.775,0.8083333333333332,0.775,0.7642857142857142,Naive Bayes
0.6,0.6493727598566308,0.6,0.5643793103448276,Naive Bayes
0.8,0.8320512820512821,0.8,0.7939958592132504,Naive Bayes
0.7,0.7491379310344828,0.7,0.6689691444600281,Naive Bayes
0.7,0.8384615384615385,0.7,0.6982467532467532,Naive Bayes
0.85,0.8691220238095237,0.85,0.850751879699248,SVM
0.85,0.8646428571428573,0.85,0.8463066853669939,SVM
0.85,0.8645394736842105,0.85,0.8484126984126984,SVM
0.875,0.8771875000000001,0.875,0.8754917387883555,SVM
0.9,0.9045833333333334,0.9,0.9005760368663595,SVM
0.8,0.8,0.8,0.8,SVM
0.825,0.8334821428571428,0.825,0.8242307692307692,SVM
0.825,0.8416666666666666,0.825,0.8189033189033189,SVM
0.95,0.9535714285714285,0.95,0.9503036437246963,SVM
0.85,0.8583333333333334,0.85,0.8513336866278044,SVM
0.9,0.9023809523809524,0.9,0.8997782705099778,SVM
0.9,0.9,0.9,0.9,SVM
0.9,0.9,0.9,0.9,SVM
0.825,0.8330555555555555,0.825,0.8180851063829788,SVM
0.8,0.8331168831168831,0.8,0.8014781966001479,SVM
0.675,0.6844155844155845,0.675,0.6755013550135501,SVM
0.85,0.85,0.85,0.85,SVM
0.9,0.916,0.9,0.897264492753623,SVM
0.875,0.8832792207792208,0.875,0.873524783634933,SVM
0.95,0.95,0.95,0.95,SVM
0.925,0.9268518518518519,0.925,0.923921832884097,SVM
0.825,0.8290131578947368,0.825,0.8243419890478714,SVM
0.85,0.8587878787878788,0.85,0.8520962732919255,SVM
0.85,0.8510061919504643,0.85,0.8499034749034748,SVM
0.925,0.9284584980237154,0.925,0.9259878419452887,SVM
0.825,0.8447552447552447,0.825,0.8209843348141221,SVM
0.75,0.776268115942029,0.75,0.75,SVM
0.925,0.9257142857142856,0.925,0.9247049567269867,SVM
